"AnomalyType","EntityType","Severity","ImpactClass","CountsTowardExposure","Anomalies","PopulationScanned","AnomalyRatePct","WhatItMeans"
"UNDER_LEVELLED_VERIFICATION","Requirement","High","Policy","0","110","519","21.195","A requirement whose only passing evidence sits below the test level its type demands -- a safety behaviour signed off by a unit test. Again accurate data recording an inadequate practice."
"SELF_VERIFIED_SAFETY","Requirement","High","Policy","0","20","519","3.854","A Safety or Regulatory requirement whose only passing evidence was produced by its own owner, against a policy that requires an independent tester. The record is accurate; the practice is not. Held to account by the KPI layer, not by the data-quality gate."
"RUN_BEFORE_BUILD","TestRun","High","Timing","1","14","3011","0.465","A test run dated before the build it ran against existed. Either the date or the build is wrong, and which one decides whether the evidence is current -- so it can change a readiness answer."
"WORKITEM_CLOSED_BEFORE_OPEN","WorkItem","High","Timing","0","9","1091","0.825","A work item closed before it was opened. Corrupts cycle-time and burn-down figures; does not touch verification evidence."
"ORPHAN_DIMENSION_KEY","TestRun","High","Integrity","1","0","3011","0.000","A fact row pointing at a requirement, build, person or date that does not exist. Enforced structurally by foreign keys; checked anyway, because a check that never fires is how you find out the constraint was dropped."
"REQ_WITHOUT_TESTCASE","Requirement","High","Coverage","1","0","519","0.000","A baselined requirement with no test case at all. It cannot be verified, so its readiness answer is not merely unknown -- it is unobtainable until somebody writes a test."
"BLOCKED_AT_RELEASE_CANDIDATE","TestCase","Medium","Evidence","0","45","1354","3.323","A test case whose most recent run against the release candidate was Blocked. A blocked test is not evidence of anything, and a readiness metric that treats ""could not run"" as ""did not fail"" is how rig contention stays invisible until the ship date."
"DUPLICATE_TEST_RUN","TestRun","Medium","Evidence","0","22","3011","0.731","The same test case recorded twice against the same build on the same day with the same result. Overstates how much testing was done; does not change any requirement's verification state, because a duplicate pass and a pass are the same evidence."
"RUN_ON_WITHDRAWN_REQ","TestRun","Medium","Waste","0","16","3011","0.531","Test effort spent verifying a requirement the programme has already withdrawn. Costs rig time that the outstanding queue needs; does not affect readiness, because withdrawn requirements are out of scope by definition."
"RAID_DUE_BEFORE_RAISED","RAID","Medium","Timing","0","7","96","7.292","A RAID item due before it was raised. Makes the item permanently overdue on the day it is created, which quietly inflates the overdue rate."
"TESTCASE_NEVER_RUN","TestCase","Medium","Coverage","0","0","1354","0.000","A test case that exists but has never been executed. Counted separately from REQ_WITHOUT_TESTCASE so that ""nobody wrote a test"" and ""nobody ran the test"" are not reported as the same failure."
