"RAIDID","RAIDType","Title","SubsystemCode","SubsystemName","Criticality","OwnerID","OwnerName","OwnerTeam","RaisedDate","DueDate","ClosedDate","Probability","Impact","ExposureScore","ExposureBand","RAIDStatus","IsOpen","IsOverdue","DaysOverdue","AgeDays","MitigationNote"
"RAID-041","Issue","Issue on Power Management: rig availability is below the rate needed to clear outstanding verification","PWR-MGMT","Power Management","Mission","P-003","Camille Villalobos","Integration & Test","2025-06-25","2026-02-25","2025-08-28","5","5","25","Critical","Closed","0","0","0","462","Closed: mitigation completed and evidence attached to the verification record."
"RAID-045","Issue","Issue on Payload Release Mechanism: rig availability is below the rate needed to clear outstanding verification","REL-MECH","Payload Release Mechanism","Safety","P-004","Dmitri Eriksen","Payload","2026-04-02","2026-08-07","","5","5","25","Critical","Open","1","1","54","181","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-055","Risk","Risk on Payload Release Mechanism: late design change may invalidate completed qualification evidence","REL-MECH","Payload Release Mechanism","Safety","P-014","Nils Castellan","Ground Segment","2025-12-16","2026-02-03","","5","5","25","Critical","Open","1","1","239","288","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-061","Issue","Issue on Command & Telemetry Link: rig availability is below the rate needed to clear outstanding verification","COMM-LNK","Command & Telemetry Link","Mission","P-019","Sana Nakamura","Integration & Test","2026-03-22","2026-06-20","","5","5","25","Critical","Open","1","1","102","192","Open: no mitigation started. Requires a decision at the next programme board."
"RAID-083","Dependency","Dependency on Power Management: awaiting supplier confirmation before verification can close","PWR-MGMT","Power Management","Mission","P-008","Hiroshi Ibarra","Payload","2025-04-03","2026-01-12","2025-06-17","5","5","25","Critical","Closed","0","0","0","545","Closed: mitigation completed and evidence attached to the verification record."
"RAID-091","Risk","Risk on Power Management: late design change may invalidate completed qualification evidence","PWR-MGMT","Power Management","Mission","P-001","Aditi Halvorsen","Avionics","2025-07-27","2026-06-17","2025-10-21","5","5","25","Critical","Closed","0","0","0","430","Closed: mitigation completed and evidence attached to the verification record."
"RAID-032","Risk","Risk on Diagnostics & Logging: late design change may invalidate completed qualification evidence","DIAG-LOG","Diagnostics & Logging","Support","P-013","Mei Thackeray","Avionics","2026-02-27","2026-10-31","","4","5","24","Critical","Mitigating","1","0","0","215","Mitigation in progress; owner reporting weekly to the programme board."
"RAID-075","Assumption","Assumption on Command & Telemetry Link: assumed unchanged from the previous airframe, not yet confirmed","COMM-LNK","Command & Telemetry Link","Mission","P-021","Ulrike Dalgleish","Avionics","2026-05-09","2027-01-07","2026-07-12","4","5","24","Critical","Closed","0","0","0","144","Closed: mitigation completed and evidence attached to the verification record."
"RAID-086","Dependency","Dependency on Structural Interface: awaiting supplier confirmation before verification can close","STRUCT-I","Structural Interface","Safety","P-008","Hiroshi Ibarra","Payload","2025-12-07","2026-11-30","2026-03-12","4","5","24","Critical","Closed","0","0","0","297","Closed: mitigation completed and evidence attached to the verification record."
"RAID-051","Risk","Risk on Flight Control Interface: late design change may invalidate completed qualification evidence","FLT-CTRL","Flight Control Interface","Safety","P-010","Jonas Weatherby","Ground Segment","2025-05-27","2025-07-27","2025-06-10","5","4","22","Critical","Closed","0","0","0","491","Closed: mitigation completed and evidence attached to the verification record."
