"PriorityRank","RequirementID","Title","ReqType","Priority","SubsystemCode","SubsystemName","Criticality","OwnerID","OwnerName","OwnerTeam","MinTestLevel","LastGoodBuild","InterveningBuilds","Cases","RigHours","TestMinutes","CumulativeRigHours","PriorityScore","ActionCode","IsThisWeek","RecommendedAction"
"1","REQ-0287","The interface shall exchange, without loss, payload release mechanism behaviour case 287","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-009","Imani Petrovic","Avionics","Integration","69","14","3","2.50","292","2.50","92.00","REVIEW_THEN_RERUN","1","The requirement itself was modified after it was verified. Confirm the test still checks the right thing, then re-run -- re-running first risks certifying against the old wording."
"2","REQ-0397","The system shall provide payload release mechanism behaviour case 397","Functional","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-007","Grace Baptiste","Integration & Test","Integration","34","28","1","2.50","33","5.00","92.00","REVIEW_THEN_RERUN","1","The requirement itself was modified after it was verified. Confirm the test still checks the right thing, then re-run -- re-running first risks certifying against the old wording."
"3","REQ-0253","The system shall record, for certification, flight control interface behaviour case 253","Regulatory","MustShip","FLT-CTRL","Flight Control Interface","Safety","P-019","Sana Nakamura","Integration & Test","Field","50","24","4","26.50","443","31.50","92.00","REVIEW_THEN_RERUN","1","The requirement itself was modified after it was verified. Confirm the test still checks the right thing, then re-run -- re-running first risks certifying against the old wording."
"4","REQ-0211","The interface shall exchange, without loss, payload release mechanism behaviour case 211","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-021","Ulrike Dalgleish","Avionics","Integration","","0","2","0.00","103","31.50","90.00","VERIFY","1","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"5","REQ-0266","The interface shall exchange, without loss, payload release mechanism behaviour case 266","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-001","Aditi Halvorsen","Avionics","Integration","","0","1","0.00","195","31.50","90.00","VERIFY","1","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"6","REQ-0176","The system shall record, for certification, payload release mechanism behaviour case 176","Regulatory","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-008","Hiroshi Ibarra","Payload","Field","","0","1","2.50","187","34.00","90.00","VERIFY","1","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"7","REQ-0449","The payload shall inhibit release when payload release mechanism behaviour case 449","Safety","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-011","Katya Fairweather","Integration & Test","HIL","","0","2","5.00","100","39.00","90.00","VERIFY","1","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"8","REQ-0085","The interface shall exchange, without loss, payload release mechanism behaviour case 85","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-009","Imani Petrovic","Avionics","Integration","59","21","3","0.00","464","39.00","88.00","RERUN","1","Evidence was valid at build 59 but the subsystem has changed in 21 builds since. Re-run on the release candidate."
"9","REQ-0260","The interface shall exchange, without loss, payload release mechanism behaviour case 260","Interface","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-017","Quentin Zielinski","Avionics","Integration","55","22","1","0.00","115","39.00","88.00","RERUN","1","Evidence was valid at build 55 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"10","REQ-0338","The system shall provide payload release mechanism behaviour case 338","Functional","MustShip","REL-MECH","Payload Release Mechanism","Safety","P-005","Elena Lindqvist","Avionics","Integration","67","15","2","0.00","260","39.00","88.00","RERUN","1","Evidence was valid at build 67 but the subsystem has changed in 15 builds since. Re-run on the release candidate."
